Time (s),SMU 1 V,SMU 1 I,SMU 1 R,SMU 2 V,SMU 2 I,SMU 2 R
6.272595,5.99949,7.27177e-11,8.25039e+10,0.0999539,2.28869e-07,436730
6.382641,-7.33137e-05,7.86781e-11,-931818,0.0999542,3.99077e-08,2.50464e+06
6.492687,-5.20468e-05,6.55651e-11,-793818,0.0999574,4.50492e-08,2.21885e+06
6.602733,-4.63724e-05,8.22544e-11,-563768,0.099955,4.70686e-08,2.1236e+06
6.712779,-4.44174e-05,6.91414e-11,-642414,0.0999561,4.82452e-08,2.07184e+06
6.822824,-4.65155e-05,8.70228e-11,-534521,0.099954,4.91035e-08,2.03558e+06
6.932874,-4.91381e-05,6.79493e-11,-723158,0.0999536,4.97162e-08,2.01048e+06
7.042919,-4.76599e-05,8.82149e-11,-540270,0.099957,5.03433e-08,1.98551e+06
7.152964,-4.86612e-05,7.15256e-11,-680333,0.0999589,5.08165e-08,1.96706e+06
7.263010,-4.90904e-05,8.46386e-11,-580000,0.0999602,5.12612e-08,1.95002e+06
7.373056,-4.85182e-05,6.91414e-11,-701724,0.0999592,5.14555e-08,1.94263e+06
7.483102,5.99984,7.51018e-11,7.98894e+10,0.099963,2.46481e-07,405561
7.593147,5.99964,7.62939e-11,7.86385e+10,0.0999615,2.33853e-07,427455
7.703192,5.99955,7.15256e-11,8.38797e+10,0.0999594,2.28088e-07,438250
7.813237,5.9995,7.98702e-11,7.51156e+10,0.0999594,2.23416e-07,447414
7.923283,-7.57694e-05,8.22544e-11,-921160,0.0999611,3.69787e-08,2.70321e+06
8.033329,-5.86033e-05,6.07967e-11,-963922,0.0999601,4.16923e-08,2.39757e+06
8.143375,-5.06639e-05,8.46386e-11,-598592,0.0999605,4.37701e-08,2.28376e+06
8.253421,-5.11885e-05,6.19888e-11,-825769,0.0999574,4.51028e-08,2.21621e+06
8.363467,-5.06639e-05,8.46386e-11,-598592,0.0999565,4.59623e-08,2.17475e+06
8.473513,-4.67539e-05,6.4373e-11,-726296,0.0999568,4.66454e-08,2.14291e+06
8.583558,-4.7636e-05,8.70228e-11,-547397,0.0999588,4.72772e-08,2.11431e+06
8.693604,-4.87804e-05,6.67572e-11,-730714,0.0999592,4.76873e-08,2.09614e+06
8.803649,-5.0354e-05,8.46386e-11,-594930,0.0999596,4.80068e-08,2.0822e+06
8.913695,-4.73738e-05,6.4373e-11,-735926,0.0999593,4.83048e-08,2.06935e+06
9.023740,5.99983,7.27177e-11,8.25086e+10,0.0999611,2.41863e-07,413297
9.133786,5.99963,7.27177e-11,8.25058e+10,0.0999614,2.29188e-07,436154
9.243832,5.99954,7.51018e-11,7.98854e+10,0.0999604,2.23683e-07,446884
9.353877,5.99951,7.86781e-11,7.62538e+10,0.0999611,2.19865e-07,454648
9.463922,-7.38859e-05,7.39098e-11,-999677,0.099962,3.55256e-08,2.8138e+06
9.573967,-5.66721e-05,6.19888e-11,-914231,0.0999596,4.00472e-08,2.49605e+06
9.684013,-5.21898e-05,8.34465e-11,-625429,0.0999601,4.19533e-08,2.38265e+06
9.794058,-5.10931e-05,6.4373e-11,-793704,0.0999599,4.32014e-08,2.31381e+06
9.904103,-5.24044e-05,8.82149e-11,-594054,0.0999611,4.40943e-08,2.26698e+06
10.014149,-5.19991e-05,6.55651e-11,-793091,0.0999608,4.48954e-08,2.22653e+06
10.124195,-5.06639e-05,8.22544e-11,-615942,0.099962,4.55296e-08,2.19554e+06
10.234241,-5.38588e-05,6.67572e-11,-806786,0.0999604,4.59945e-08,2.17331e+06
10.344286,-5.79834e-05,8.46386e-11,-685070,0.0999606,4.63629e-08,2.15605e+06
10.454332,-6.01053e-05,6.4373e-11,-933704,0.0999604,4.66263e-08,2.14386e+06
10.564377,5.99971,8.34465e-11,7.18989e+10,0.0999579,2.393e-07,417710
10.674423,5.99951,7.51018e-11,7.9885e+10,0.0999591,2.2741e-07,439555
10.784468,5.99944,7.51018e-11,7.9884e+10,0.0999585,2.22231e-07,449795
10.894514,5.99942,7.98702e-11,7.51146e+10,0.099958,2.18036e-07,458447
11.004560,-8.38041e-05,7.03335e-11,-1.19153e+06,0.099963,3.43633e-08,2.90901e+06
11.114605,-6.57558e-05,7.03335e-11,-934915,0.0999618,3.87156e-08,2.58195e+06
11.224650,-5.54085e-05,8.34465e-11,-664000,0.0999621,4.05264e-08,2.46659e+06
11.334695,-5.50509e-05,6.91414e-11,-796207,0.0999631,4.17781e-08,2.39272e+06
11.444740,-5.62668e-05,8.34465e-11,-674286,0.0999624,4.26269e-08,2.34506e+06
11.554786,-5.41687e-05,6.91414e-11,-783448,0.0999631,4.3335e-08,2.30675e+06
11.664831,-5.39064e-05,8.22544e-11,-655362,0.0999654,4.39608e-08,2.27397e+06
11.774877,-5.16415e-05,7.03335e-11,-734237,0.099964,4.44531e-08,2.24875e+06
11.884923,-5.29528e-05,9.17912e-11,-576883,0.0999654,4.47988e-08,2.23143e+06
11.994968,-5.50747e-05,7.62939e-11,-721875,0.0999645,4.51159e-08,2.21572e+06
12.105014,5.99977,7.7486e-11,7.74303e+10,0.0999649,2.36828e-07,422099
12.215059,5.99955,7.98702e-11,7.51162e+10,0.0999666,2.24937e-07,444420
12.325104,5.99944,7.62939e-11,7.86359e+10,0.0999647,2.19483e-07,455455
12.435149,5.99943,7.98702e-11,7.51147e+10,0.0999648,2.15181e-07,464561
12.545195,-8.28266e-05,7.39098e-11,-1.12065e+06,0.0999628,3.34871e-08,2.98512e+06
12.655241,-6.37531e-05,7.98702e-11,-798209,0.0999623,3.77095e-08,2.65085e+06
12.765287,-5.78642e-05,9.29832e-11,-622308,0.0999665,3.96371e-08,2.52204e+06
12.875333,-5.72681e-05,7.7486e-11,-739077,0.099965,4.07636e-08,2.45231e+06
12.985378,-5.54085e-05,9.29832e-11,-595897,0.0999648,4.15575e-08,2.40546e+06
13.095424,-5.44071e-05,7.7486e-11,-702154,0.0999637,4.22871e-08,2.36393e+06
13.205469,-5.55515e-05,9.05991e-11,-613158,0.0999622,4.282e-08,2.33448e+06
13.315515,-5.5337e-05,7.7486e-11,-714154,0.0999615,4.32289e-08,2.31238e+06
13.425561,-5.57899e-05,9.05991e-11,-615790,0.0999598,4.36056e-08,2.29236e+06
13.535607,-5.69105e-05,8.10623e-11,-702059,0.0999606,4.38619e-08,2.27899e+06
13.645653,5.99978,8.46386e-11,7.0887e+10,0.0999636,2.34149e-07,426924
13.755698,5.99957,8.46386e-11,7.08846e+10,0.0999638,2.22282e-07,449715
13.865744,5.99948,8.10623e-11,7.40107e+10,0.0999657,2.17268e-07,460102
13.975790,5.99945,8.58307e-11,6.98986e+10,0.0999656,2.13938e-07,467265
14.085835,-8.22783e-05,7.39098e-11,-1.11323e+06,0.0999663,3.2593e-08,3.06711e+06
14.195881,-6.38008e-05,7.98702e-11,-798806,0.0999656,3.69501e-08,2.70542e+06
14.305926,-5.8198e-05,8.46386e-11,-687606,0.0999679,3.88956e-08,2.57016e+06
14.415972,-5.82695e-05,7.62939e-11,-763750,0.0999682,3.99458e-08,2.50259e+06
14.526018,-5.89371e-05,8.58307e-11,-686667,0.0999663,4.07898e-08,2.45076e+06
14.636064,-5.76496e-05,8.10623e-11,-711176,0.0999671,4.14038e-08,2.41444e+06
14.746109,-5.91993e-05,8.46386e-11,-699437,0.0999662,4.18854e-08,2.38666e+06
14.856155,-6.11544e-05,8.34465e-11,-732857,0.0999663,4.23443e-08,2.3608e+06
14.966201,-5.61714e-05,8.70228e-11,-645479,0.0999665,4.27604e-08,2.33783e+06
15.076247,-5.73635e-05,7.98702e-11,-718209,0.099967,4.31204e-08,2.31832e+06
15.186292,5.99977,7.86781e-11,7.62571e+10,0.0999684,2.33523e-07,428089
15.296337,5.99957,7.7486e-11,7.74278e+10,0.0999671,2.21906e-07,450494
15.406383,5.99948,7.51018e-11,7.98846e+10,0.0999691,2.16402e-07,461961
15.516429,5.99946,7.86781e-11,7.62532e+10,0.0999711,2.12566e-07,470307
15.626475,-8.05616e-05,6.79493e-11,-1.18561e+06,0.0999749,3.20113e-08,3.12311e+06
15.736521,-6.36578e-05,8.58307e-11,-741667,0.0999739,3.62217e-08,2.76005e+06
15.846567,-5.75304e-05,8.22544e-11,-699420,0.0999696,3.80361e-08,2.62828e+06
15.956612,-5.83649e-05,8.22544e-11,-709565,0.0999675,3.90399e-08,2.56065e+06
16.066658,-5.6839e-05,8.46386e-11,-671549,0.0999656,3.98993e-08,2.50545e+06
16.176704,-5.66959e-05,8.34465e-11,-679429,0.0999676,4.05812e-08,2.46339e+06
